Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2021-07-19,29.95,29.95,29.95,29.95,29.95,46327.0,155.0,1387493.0,46327.0,100.0,0.0,0.0
2021-07-16,33.4,33.4,31.05,31.5,31.82,60999.0,223.0,1941292.0,59102.0,96.89,2.35,-1.9
2021-07-15,33.65,33.65,32.1,32.35,32.8,87822.0,277.0,2880613.0,57536.0,65.51,1.55,-1.3
2021-07-14,33.1,33.75,32.5,33.05,33.14,95358.0,235.0,3160281.0,86300.0,90.5,1.25,-0.05
2021-07-13,33.3,34.05,33.0,33.05,33.39,51367.0,230.0,1715345.0,42862.0,83.44,1.05,-0.25
2021-07-12,33.9,35.0,33.0,33.05,33.72,101312.0,358.0,3416673.0,78763.0,77.74,2.0,-0.85
2021-07-09,34.4,34.8,33.5,33.9,34.27,57205.0,198.0,1960233.0,51543.0,90.1,1.3,-0.5
2021-07-08,34.8,34.8,34.0,34.2,34.3,38057.0,158.0,1305253.0,32962.0,86.61,0.8,-0.6
2021-07-07,34.4,35.0,33.05,34.0,33.83,167620.0,363.0,5670487.0,123232.0,73.52,1.95,-0.4
2021-07-06,36.0,36.0,34.45,34.45,34.91,232239.0,598.0,8108013.0,190274.0,81.93,1.55,-1.55
2021-07-05,36.75,36.75,35.7,36.25,36.63,264982.0,550.0,9705728.0,181213.0,68.39,1.05,-0.5
2021-07-02,33.9,35.0,32.75,35.0,34.58,309566.0,587.0,10703333.0,242168.0,78.23,2.25,1.1
2021-07-01,32.0,33.75,32.0,33.35,33.09,99318.0,365.0,3286892.0,73357.0,73.86,1.75,1.35
2021-06-30,31.25,32.65,30.8,32.6,32.23,177914.0,512.0,5733437.0,141064.0,79.29,1.85,1.35
2021-06-29,32.35,32.65,30.55,31.1,31.43,99942.0,379.0,3141634.0,71340.0,71.38,2.1,-1.25
2021-06-28,32.5,33.5,31.85,31.95,32.32,88869.0,313.0,2872211.0,72121.0,81.15,1.65,-0.55
2021-06-25,32.1,33.95,32.05,33.5,32.98,117845.0,389.0,3886705.0,81503.0,69.16,1.9,1.4
2021-06-24,35.7,35.7,33.4,33.4,33.64,340426.0,533.0,11453197.0,255648.0,75.1,2.3,-2.3
2021-06-23,35.7,35.7,34.0,35.15,35.4,834939.0,1148.0,29558612.0,688861.0,82.5,1.7,-0.55
2021-06-22,34.0,34.0,33.1,34.0,34.0,167394.0,271.0,5690693.0,152573.0,91.15,0.9,0.0
2021-06-21,31.95,32.4,30.5,32.4,32.18,187982.0,313.0,6050092.0,170244.0,90.56,1.9,0.45
2021-06-18,30.0,31.0,28.65,30.9,30.19,203453.0,479.0,6142636.0,151706.0,74.57,2.35,0.9
2021-06-17,30.75,32.25,29.25,29.8,30.1,230805.0,519.0,6946834.0,182878.0,79.23,3.0,-0.95
2021-06-16,33.7,33.7,30.7,30.75,31.78,358822.0,713.0,11401585.0,311814.0,86.9,3.0,-2.95
2021-06-15,31.25,32.3,31.2,32.3,32.24,375652.0,458.0,12112413.0,250829.0,66.77,1.1,1.05
2021-06-14,28.8,30.8,27.9,30.8,30.34,471163.0,531.0,14297353.0,362975.0,77.04,2.9,2.0
2021-06-11,30.2,30.2,28.7,29.35,29.44,165844.0,308.0,4882505.0,151200.0,91.17,1.5,-0.85
2021-06-10,29.7,30.3,28.6,29.6,29.94,201384.0,373.0,6029536.0,164454.0,81.66,1.7,-0.1
2021-06-09,28.5,29.8,28.0,29.1,29.48,368295.0,672.0,10858764.0,281501.0,76.43,1.8,0.6
2021-06-08,27.8,28.4,27.0,28.4,28.06,168020.0,315.0,4714531.0,143430.0,85.36,1.4,0.6
2021-06-07,27.6,28.5,26.55,27.05,27.24,92264.0,330.0,2512974.0,60397.0,65.46,1.95,-0.55
2021-06-04,28.5,28.95,26.55,27.6,28.21,284700.0,540.0,8030602.0,213018.0,74.82,2.4,-0.9
2021-06-03,27.6,27.6,27.6,27.6,27.6,40924.0,100.0,1129502.0,40924.0,100.0,0.0,0.0
2021-06-02,24.5,26.3,24.5,26.3,25.65,97496.0,255.0,2500400.0,91445.0,93.79,1.8,1.8
